SYNONYM	KEY(TermID)
nucleus lateralis intermedius lateralis	[birnlex_918, UBERON_0003019]
Folium	[UBERON_0005345, nlx_anat_20081231]
6-trinitrotoluene breakdown	[GO_0046258, GO_0046256]
nerve ending	[GO_0043679, UBERON_0012453, sao2007137787]
Hrh1	[nifext_6338, nifext_6341]
ansa lenticularis in thalamo	[UBERON_0009641, nlx_anat_1010011]
auris interna	[UBERON_0001846, birnlex_1196]
VGCNL1	[PR_000000678, nifext_2668, nifext_2669]
segment part of lumbar spinal cord	[UBERON_0007716, birnlex_1652]
Electromyography	[ERO_0000499, nlx_inv_20090501]
inner nuclear membrane	[GO_0005637, sao1612527463]
pattern formation	[GO_0003002, GO_0007389]
twelfth thoracic dorsal root ganglion	[birnlex_2622, UBERON_0002855]
regulation of eye photoreceptor development	[GO_0045314, GO_0042478]
endonuclease G activity	[GO_0004520, GO_0004521]
nuclei vestibulares in medulla oblongata	[UBERON_0002673, birnlex_1337]
preoptico-hypothalamic region	[birnlex_734, UBERON_0001898]
neuron protrusion	[sao-867568886, GO_0043005, sao-250931889]
F2rl2	[nifext_6672, nifext_6669]
http://ontology.neuinfo.org/NIF/Function/NIF-Function.owl#birnlex_1800	[NEMO_9771000, NEMO_8289000, NEMO_6707000, NEMO_3107000, NEMO_7855000, NEMO_4758000, NEMO_3076000, NEMO_4320000, NEMO_9643000, NEMO_5400000, NEMO_0994000, NEMO_9355000, NEMO_7436000, NEMO_7984000, NEMO_6641000]
BCNG1	[PR_000000705, nifext_3061]
BCNG3	[PR_000000708, nifext_3073]
CA2 basket cell	[nlx_cell_091207, nlx_cell_091208]
globus pallidus medialis	[birnlex_1555, UBERON_0002477]
 Thr 161) (human)	[PR_000027149, PR_000027145]
mono-ubiquitinated smad4	[PR_000025955, PR_000025957]
laminae septi pellucidi	[birnlex_1554, UBERON_0002742]
contour feather	[UBERON_0011793, UBERON_0008297]
galactose/glucose (methylgalactoside) porter activity	[GO_0015592, GO_0015291, GO_0005354]
Myoclonus with epilepsy and with Ragged Red Fibers (MERRF syndrome)	[birnlex_12724, DOID_310]
Acute Stress Disorder	[birnlex_12680, DOID_6088]
trapezoid nuclei	[UBERON_0007633, birnlex_745]
EBI2	[nifext_7186, PR_000001109]
Auberbach plexus	[nlx_anat_100306, UBERON_0002439]
P2RY8	[PR_000001542, nifext_5362]
P2RY1	[PR_000001568, nifext_6524]
stria olfactoria lateralis	[UBERON_0001888, birnlex_1559]
mustached bat	[birnlex_303, birnlex_296]
 peptide formation	[GO_0019539, GO_1900706, GO_1900679, GO_0031169]
allantoin/allantoate transport	[GO_0015720, GO_0015719]
pars fibrosa	[sao1841764412, GO_0001651]
cornu posterius ventriculi lateralis	[UBERON_0004672, birnlex_1297]
rootlet of vagus nerve	[UBERON_0011213, birnlex_1456]
chromosome scaffold	[GO_0000785, sao1615953555]
metepencephalon	[UBERON_0001896, birnlex_957]
nucleus raphes magnus	[UBERON_0002156, birnlex_1363]
precuneus cortex	[UBERON_0006093, birnlex_1446]
 germ-line encoded	[GO_0007311, GO_0008070]
small-inducible cytokine A17	[PR_000001989, nifext_5046]
4-benzoquinone methylase activity	[GO_0043334, GO_0043430, GO_0043333, GO_0043428, GO_0043429]
 connexon complex	[sao445019788, GO_0005922]
2-chloroethanol dehydrogenase (cytochrome c) activity	[GO_0052932, GO_0052936]
smooth ER membrane	[GO_0030868, sao1596955044]
dorsal motor nucleus of vagus nerve	[birnlex_2642, UBERON_0002870]
mitotic spindle assembly	[GO_0030472, GO_0090307]
TGF-beta receptor-activated smad2	[PR_000000650, PR_000000656]
primer sequence	[SO_0000112, ERO_0000631]
 beta-subunit	[GO_0031680, GO_0010318]
nucleus centralis superior lateralis thalami	[birnlex_956, UBERON_0003034]
QRFP	[nifext_6993, PR_000013568]
parahippocampal gyrus (amaral)	[UBERON_0002657, birnlex_1295]
necrosis	[GO_0001906, GO_0070265, GO_0008219]
thoracic neural root	[UBERON_0009630, birnlex_836]
commissure	[UBERON_0001020, nlx_anat_20090513]
Endosomal Sorting Complex Required for Transport	[GO_0000813, GO_0000814, GO_0000815]
 production of siRNA	[GO_0070919, GO_0090065, GO_0070921]
Retinopathy (disorder)	[DOID_5679, birnlex_12798]
paratenial nucleus of thalamus	[birnlex_860, UBERON_0002992]
dura mater of neuraxis	[nlx_anat_090206, UBERON_0002363]
nucleus lateralis posterior	[UBERON_0002983, birnlex_835]
Purkinje cell layer	[UBERON_0002979, birnlex_818]
2'-O-dimethylcytidine	[SO_0001291, SO_0001287]
myosin phosphatase myosin binding	[GO_0017022, GO_0017018]
inter-Golgi transport constitutive secretory pathway transport vesicle	[GO_0030143, sao1382918459]
glycine receptor	[GO_0016934, GO_0016933]
macrophage receptor activity	[GO_0008329, GO_0005044]
cytoskeleton component	[GO_0044430, sao1635329413]
intermediate hypothalamic region segment	[UBERON_0002951, birnlex_767]
Brodmann.45	[UBERON_0006482, birnlex_1777]
interrenal gland	[UBERON_0006856, GO_0030325]
Felis domesticus	[birnlex_113, NCBITaxon_9685]
sulcus subparietalis	[birnlex_4026, UBERON_0002908]
non-membrane-enclosed organelle	[GO_0043228, sao1456184038]
hippocampal dentate gyrus	[birnlex_1178, UBERON_0001885]
synaptic transmission involved in urination	[GO_0060085, GO_0060084]
Basal Dendrite	[sao1079900774, GO_0097441]
succinyl coenzyme A synthetase	[GO_0004775, GO_0004776]
Neurotic Anxiety State	[birnlex_12671, DOID_2030]
Data	[nlx_res_20090102, IAO_0000027, ERO_0001554, SWO_0000516]
pre-replication complex	[GO_1990099, GO_0036387]
anteroventral auditory nucleus	[UBERON_0002830, birnlex_2572]
 glucose uniporter activity	[GO_0050782, GO_0015304]
SSTR3	[PR_000001670, nifext_7981]
SSTR1	[nifext_7266, PR_000001668]
5-dihydro-5-oxofuran-2-acetate lyase (decyclizing)	[GO_0018852, GO_0047768]
Cocaine Abuse	[birnlex_12710, DOID_9975]
pale body	[GO_0097412, nlx_subcell_20090104]
Rodentia	[birnlex_263, NCBITaxon_9989]
pars nervosa of posterior lobe of pituitary gland	[UBERON_0003217, birnlex_941]
ventral nucleus of oculomotor nuclear complex	[birnlex_713, UBERON_0002934]
3-oxidoreductase (decyclizing)	[GO_0047719, GO_0050169]
frontal horn of lateral ventricle	[UBERON_0002651, birnlex_1279]
glutamic acid tRNA	[GO_0033460, GO_0033459]
sacral segments of spinal cord [1-5]	[UBERON_0005843, birnlex_1275]
brainstem Lewy body	[sao4749542545, GO_0097414]
supracommissural hippocampus	[UBERON_0002665, birnlex_1316]
segment of medulla oblongata	[birnlex_1355, UBERON_0002678]
KCNJ12	[PR_000001981, nifext_2902]
KCNJ14	[PR_000001983, nifext_2910]
KCNJ13	[PR_000002054, nifext_2956]
poison gland	[UBERON_3010602, UBERON_0008976]
interstitial nucleus of medial longitudinal fasciculus	[UBERON_0002551, birnlex_1008]
area 2 of Brodmann-1909	[UBERON_0013533, birnlex_1733]
histogenesis and organogenesis	[GO_0009888, GO_0009887]
T-cell chemotactic factor	[PR_000001395, nifext_5057]
3-diamine-forming) activity	[GO_0034038, GO_0052897, GO_0033983, GO_0052900, GO_0052893]
medial nucleus of medial geniculate complex	[birnlex_845, UBERON_0002985]
eye infection	[birnlex_12797, DOID_5614]
cytoplasm component	[GO_0033655, GO_0044444]
Golgi cisternae	[sao561419532, GO_0005795]
 Vamp8)	[GO_0070048, GO_0070049]
CMKLR1	[PR_000001129, nifext_5958]
Dorsal spinocerebellar tract	[birnlex_1585, UBERON_0002753]
 siRNA loading onto RISC	[GO_0070923, GO_0035087]
nerve part of peripheral nervous system	[UBERON_0002003, birnlex_1615]
 hydrogen-donor:oxygen oxidoreductase activity	[GO_0050603, GO_0004768]
asparagine/glutamine permease activity	[GO_0015182, GO_0015186]
ghrelin receptor	[PR_000001225, nifext_7620]
papilla vallatae	[UBERON_0000396, birnlex_4106_2]
oculomotor nerve tract	[birnlex_1323, UBERON_0002668]
crus of fornix	[UBERON_0006115, birnlex_754]
Retinoblastoma (disorder)	[birnlex_12635, DOID_768]
mRNA splicing	[GO_0000374, GO_0000372, GO_0000373, GO_0000394]
S2 segment	[birnlex_1539, UBERON_0006461]
fissure of Sylvius	[UBERON_0002721, birnlex_1487]
microtubuli	[GO_0005874, sao1846835077]
calcium-independent cell adhesion molecule activity	[GO_0016338, GO_0007161]
sixth cervical spinal ganglion	[UBERON_0007711, birnlex_2608]
central part of glossopharyngeal nerve	[UBERON_0006090, birnlex_1274]
olfactory bulb main mitral cell body layer	[UBERON_0004186, nlx_anat_100201]
midline thalamic group	[UBERON_0002705, birnlex_1462]
 no ICD-O subtype (morphologic abnormality)	[DOID_8692, DOID_5138, DOID_2683]
crus cerebri	[birnlex_1218, UBERON_0002631]
cosmid vector	[ERO_0000289, SO_0000156]
 chromosome segregation	[GO_0045144, GO_0045143]
HPCN1	[PR_000000812, nifext_2691]
oocyte cell differentiation	[GO_0009994, GO_0030706]
superior central nucleus raphe	[birnlex_889, UBERON_0003004]
carotid artery	[UBERON_0005396, UBERON_0001530]
anterior root of spinal nerve	[UBERON_0002260, nlx_anat_20090209]
Tourette syndrome	[nlx_dys_100303, DOID_11119]
sulcus frontalis superior	[birnlex_1030, UBERON_0002562]
transforming growth factor beta 1 dimer	[PR_000025925, PR_000025926]
olfactory membrane	[birnlex_2703, UBERON_0001997]
true crabs	[birnlex_396, NCBITaxon_6752]
second temporal sulcus	[UBERON_0002969, birnlex_800]
cerebellar granule cell layer	[birnlex_779, UBERON_0002956]
KCNK17	[nifext_3025, nifext_3026]
KCNK15	[nifext_3015, nifext_3016]
KCNK13	[nifext_3011, nifext_3010]
KCNK12	[PR_000002072, nifext_3006]
KCNK10	[nifext_3000, nifext_3001]
 G-protein coupled	[GO_0008020, GO_0015057]
polus occipitalis	[UBERON_0002902, birnlex_4016]
segment of cerebellar cortex	[UBERON_0002749, birnlex_1571]
motor endplate	[sao1124888485, GO_0031594]
type IV intermediate filament	[GO_0005883, sao1316272517]
N400	[NEMO_0290000, NEMO_2938000, NEMO_2978000]
Ccr7	[nifext_7911, nifext_7914]
intercellular junction	[GO_0005911, sao-3012335077, sao1395777368]
female genital morphogenesis	[GO_0048807, GO_0048804]
dorsal root ganglion of thorax	[UBERON_0002835, birnlex_2600]
statoacoustic (VIII) ganglion	[UBERON_0002827, birnlex_2564]
Parkinson's disease (disorder)	[birnlex_2098, DOID_14330]
third lumbar spinal cord segment	[UBERON_0006449, birnlex_1340]
straight gyrus	[birnlex_1103, UBERON_0004671]
anterior transverse convolution of Heschl	[birnlex_1657, UBERON_0002773]
dense core vesicle	[GO_0031045, sao772007592]
nucleus putamen	[birnlex_809, UBERON_0001874]
Paraneoplastic Polyneuropathy	[DOID_8681, birnlex_12646]
nigrostriatal tract	[UBERON_0014169, birnlex_4107]
Brodmann area 34	[UBERON_0006477, birnlex_1767]
Brodmann area 36	[UBERON_0006104, birnlex_1769]
Brodmann area 13	[UBERON_0013544, birnlex_1744]
nucleus ruber	[UBERON_0001947, birnlex_1478]
GLOBOID CELL LEUKOENCEPHALOPATHY	[birnlex_12533, DOID_10587]
IgG receptor complex	[GO_0033001, GO_0033000]
NPY-Y5 receptor	[PR_000001494, nifext_5810]
superficial pes lemniscus	[UBERON_0002662, birnlex_1310]
glycine tRNA	[GO_0033463, GO_0033464, GO_0033462]
nucleus nervi oculomotorii	[UBERON_0001715, birnlex_1240]
cerebral cortex part	[UBERON_0002619, birnlex_1173]
silent subunit	[PR_000000702, PR_000000701]
decussatio lemnisci medialis	[birnlex_1245, UBERON_0002643]
lobular parts of the cerebellar cortex	[birnlex_1084, UBERON_0004004]
Sacral spinal cord posterior column	[birnlex_1514, UBERON_0005840]
 signal transduction by p53 class mediator	[GO_0043518, GO_0043517]
restiform body	[birnlex_1691, UBERON_0002163]
http://ontology.neuinfo.org/NIF/BiomaterialEntities/NIF-GrossAnatomy.owl#birnlex_1167	[NEMO_1269000, NEMO_1119000]
inhibition of eye pigmentation	[GO_0048077, GO_0048074]
KCNMC1	[nifext_2887, nifext_2888]
Clarke's column	[UBERON_0002246, nlx_anat_20090102]
tetrahydrobiopterin:oxygen oxidoreductase (4-hydroxylating)	[GO_0004505, GO_0050481]
medial parolfactory nucleus	[UBERON_0001877, birnlex_1668]
scales	[UBERON_0007380, UBERON_0002542]
prohormone convertase 3	[PR_000003137, PR_000012436]
segmenta cervicalia medullae spinalis [1-8	[UBERON_0002726, birnlex_1499]
fimbria of the fornix	[UBERON_0002310, birnlex_1502]
pons of varolius spinothalamic tract	[UBERON_0002798, birnlex_1719]
inferior parietal cortex	[birnlex_1194, UBERON_0006088]
hippocampus CA1	[UBERON_0003881, birnlex_1197]
nucleus pulvinaris lateralis	[birnlex_1228, UBERON_0002636]
semilunar lobule-1 (anterior)	[UBERON_0003015, birnlex_913]
bed nucleus stria terminalis (johnson)	[UBERON_0001880, birnlex_724]
CYP39A1	[GO_0033782, PR_000006129]
 initiator methionine removed form	[PR_000026561, PR_000020725, PR_000020726]
lobulus paramedianus	[UBERON_0005349, nlx_anat_20081210]
pretectal region segment	[birnlex_993, UBERON_0003047]
foliate papilla of tongue	[UBERON_0002468, birnlex_4105]
MMR complex	[GO_0032301, GO_0032389]
commissura rostralis	[birnlex_1557, UBERON_0000935]
pedunculopontine nucleus	[birnlex_1437, UBERON_0002142]
nucleus parabrachialis medialis	[UBERON_0002918, birnlex_4038]
nucleus centralis lateralis of thalamus	[birnlex_961, UBERON_0003036]
gyrus occipitotemporalis lateralis	[UBERON_0002766, birnlex_1641]
Mammalia	[NCBITaxon_40674, birnlex_252]
rhombencephalic vesicle	[UBERON_0002422, birnlex_1256, UBERON_0013149]
basal ganglia	[UBERON_0010011, UBERON_0002420, birnlex_826]
axon spine	[GO_0044308, sao18239917]
 pars caudalis	[birnlex_1144, UBERON_0002608]
habenular nucleus	[UBERON_0001904, birnlex_1611]
neural fasciculus	[birnlex_872, UBERON_0001019]
intermediate frontal gyrus	[UBERON_0002702, birnlex_1451]
lateral septum	[birnlex_1315, UBERON_0004714, UBERON_0007628]
 RNA polymerase(A) coupled	[GO_2000805, GO_2000804]
posterior hypothalamic area	[birnlex_1463, UBERON_0002706]
 pars parvicellularis	[UBERON_0002937, birnlex_722]
http://purl.org/obo/owl/PATO#PATO_0001018	[NEMO_8791000, NEMO_5336000]
sulcus subcentralis medialis	[birnlex_1121, UBERON_0002598]
RILP	[PR_000014001, PR_000013211]
 alpha beta T cell costimulation	[GO_1900281, GO_1900280]
locus coeruleus	[UBERON_0002148, birnlex_905]
gametogenesis	[GO_0007276, GO_0048229]
hadjikhani et al. (1998) visuotopic area v2d	[UBERON_0006487, birnlex_4055]
ventral amygdalofugal pathway	[birnlex_1563, UBERON_0002745]
optic glioma (disorder)	[DOID_4992, birnlex_12621]
perirhinal area	[UBERON_0006083, nlx_anat_1005006]
auris	[birnlex_1062, UBERON_0001690]
KCNK7	[PR_000002078, nifext_2991]
KCNK5	[nifext_2980, nifext_2981]
area septalis	[birnlex_963, UBERON_0000446]
KCNJ3	[nifext_2915, PR_000002002]
interpeduncular ganglion	[UBERON_0002145, birnlex_1000]
KCNK1	[nifext_2961, nifext_2960]
KCNK2	[PR_000001914, nifext_2965, nifext_2966]
KCNK4	[nifext_2975, nifext_2976]
KCNG3	[nifext_2765, nifext_2764]
KCNG4	[PR_000000789, nifext_2769]
KCNG2	[nifext_2760, nifext_2759]
C8 spinal cord segment	[birnlex_1696, UBERON_0006470]
KCNH4	[PR_000000793, nifext_2849]
KCNH5	[nifext_2821, nifext_2822]
KCNF1	[nifext_2751, nifext_2750, PR_000000724]
KCNC2	[PR_000000782, nifext_2724]
KCNC1	[PR_000000781, nifext_2719, nifext_2720]
KCND3	[PR_000000786, nifext_2746, nifext_2745]
KCNA7	[nifext_2700, PR_000000814, nifext_2699]
proton pump	[GO_0005889, PR_000004451]
Granule cell axons	[GO_0044302, nlx_subcell_20090601]
ADORA3	[PR_000001578, nifext_7558]
ADORA1	[PR_000001575, nifext_5719]
CDK holoenzyme	[GO_0000307, GO_0000308, GO_0019908]
NK-3 receptor	[PR_000001242, nifext_7056, nifext_7055]
Taar3	[nifext_6843, nifext_6840]
vestibular organ system	[UBERON_0004681, nlx_anat_090819]
dorsal nucleus of the lateral lemniscus	[UBERON_0003006, birnlex_894]
KCNS3	[nifext_2813, PR_000000800, nifext_2812]
meninx primitiva	[UBERON_0007645, nlx_anat_090204, UBERON_0002360]
 lectin pathway in other organism	[GO_0044639, GO_0044630]
KCNQ5	[nifext_2789, nifext_2790]
KCNQ3	[nifext_2782, nifext_2781]
T6 spinal cord segment	[UBERON_0006454, birnlex_1387]
medial amygalar nucleus	[birnlex_2701, UBERON_0002892]
KCNN4	[PR_000000700, nifext_2874]
KCNN3	[nifext_2868, nifext_2869]
TNF-alpha	[sao220868685, PR_000000134]
physiological process	[GO_0008150, NEMO_0000319, NEMO_2878000]
commissure of inferior colliculi	[UBERON_0003028, birnlex_935]
SPT complex	[PR_000026130, PR_000026132, PR_000026169]
Combat Neurosis	[birnlex_12678, DOID_6950]
arginine tRNA	[GO_0033431, GO_0033430, GO_0033447, GO_0033448, GO_0033429, GO_0033432]
Manic bipolar I disorder	[birnlex_12754, DOID_3312]
 mitochondrial	[GO_0005761, PR_000005754, PR_000005751, PR_000010626, GO_0005762]
segment of cerebral cortex	[birnlex_922, UBERON_0003022]
C-C motif chemokine 11	[PR_000002139, nifext_5041]
Defb41	[PR_000006800, PR_000006816]
area 42 of Brodmann	[UBERON_0006096, birnlex_1775, birnlex_1589]
hypogonadotropin-1	[PR_000001426, nifext_5598]
gyrus cinguli	[UBERON_0003027, birnlex_934]
fosmid vector	[ERO_0000290, SO_0000158]
post-clival fissure	[UBERON_0002814, nlx_anat_20081254]
glutamine tRNA	[GO_0033427, GO_0033428]
 alternative pathway in other organism	[GO_0044633, GO_0044642]
 endothelial cells	[GO_2000352, GO_2000351]
nervus terminalis	[birnlex_4044, UBERON_0002924]
gyrus paraterminalis	[UBERON_0002603, birnlex_1138]
mitochondria	[GO_0005739, sao1860313010]
S1P3	[PR_000001708, nifext_7926]
S1P5	[nifext_6617, nifext_6612]
fifth sacral spinal cord segment	[birnlex_1553, UBERON_0006464]
Hac3	[PR_000000707, nifext_3069]
eighth thoracic dorsal root ganglion	[UBERON_0002851, birnlex_2618]
thoracic spinal cord	[birnlex_966, UBERON_0003038]
segment of posterior hypothalamic region	[UBERON_0002789, birnlex_1697]
anterior horizontal ramus of lateral fissure	[UBERON_0002669, birnlex_1327]
CNS PNET	[DOID_168, birnlex_12629]
house mouse	[NCBITaxon_10090, birnlex_167]
 gigantopyramidal	[UBERON_0013535, birnlex_1735]
 unspecified (disorder)	[DOID_3620, DOID_13034]
Isothermal titration calorimeter	[birnlex_2427, ERO_0001590]
tractus supraopticohypophysialis	[birnlex_1440, UBERON_0002699]
uracil/uridine permease activity	[GO_0015213, GO_0015210]
fN400	[NEMO_6713000, NEMO_8789000, NEMO_2289000]
Bovine spongiform encephalopathy (disorder)	[birnlex_12690, DOID_5435]
thalamus ventralis	[UBERON_0001900, birnlex_708]
seventh thoracic spinal ganglion	[UBERON_0002850, birnlex_2617]
coronal sulcus	[UBERON_0001299, UBERON_0013596]
arcuate nucleus-2	[UBERON_0001932, birnlex_1638]
epencephalon-2	[UBERON_0001895, birnlex_965]
epencephalon-1	[UBERON_0002037, birnlex_1489]
GPI/GSI anchor metabolic process	[GO_0042081, GO_0006505]
valine tRNA	[GO_0033451, GO_0033449]
beta-carotene hydroxylase activity	[GO_0052613, GO_0052612, GO_0052610, GO_0010291]
Galnr1	[nifext_7666, nifext_7669]
bicyclomycin/sulfathiazole:hydrogen antiporter activity	[GO_0015545, GO_0045119, GO_0015546]
Cnr2	[nifext_8004, nifext_8007]
Adolescent Myoclonic Epilepsy	[birnlex_12721, DOID_4890]
second sacral dorsal root ganglion	[UBERON_0002861, birnlex_2629]
genital morphogenesis	[GO_0035112, GO_0048805]
microvilli	[GO_0005902, UBERON_0012423, sao671419673]
spinal cord grey commissure	[UBERON_0004677, birnlex_2669]
photosensory system	[UBERON_0002104, FMAID_7191]
sacral neural root	[UBERON_0009633, birnlex_1518]
docked vesicle	[GO_0008021, sao1071221672]
lateral division of basal nucleus	[birnlex_2695, UBERON_0002888]
statoacoustic nerve fibers	[UBERON_0002731, birnlex_1519]
gyrus fasciolaris	[UBERON_0002601, birnlex_1129]
hamster	[birnlex_676, NCBITaxon_10026]
 Grade IV	[DOID_3068, DOID_3074, birnlex_12620]
stria medullaris thalami	[UBERON_0006086, birnlex_1066]
small proline-rich protein II	[PR_000015577, PR_000015576]
telencephalon segment	[UBERON_0002791, birnlex_1700]
nematode	[NCBITaxon_6231, birnlex_578]
prerolandic gyrus	[birnlex_1455, UBERON_0002703]
RCK5	[PR_000000810, nifext_2678]
Granule layer of main olfactory bulb	[nlx_anat_20090404, UBERON_0005378]
Area temporalis inferior	[UBERON_0013551, birnlex_1751]
CobB	[GO_0042242, GO_0043802]
posterior complex of thalamus	[UBERON_0002709, birnlex_1467]
hypoplasia	[PATO_0000587, PATO_0000645]
dorsal thalamus	[birnlex_954, UBERON_0001897]
operculum temporale	[UBERON_0002560, birnlex_1025]
auricular region	[UBERON_0001691, birnlex_1705]
fourth cervical spinal ganglion	[UBERON_0002841, birnlex_2606]
cortex of inferior colliculus	[UBERON_0002577, birnlex_1056]
nucleus mediodorsalis thalami	[birnlex_1543, UBERON_0002739]
lobus posterior (glandula pituitaria)	[birnlex_1586, UBERON_0002198]
Da Costa's syndrome	[birnlex_12673, DOID_11569]
 ectosplenial	[UBERON_0004718, birnlex_1757]
neuroepithelium	[UBERON_0006934, UBERON_0004022]
Lateral Bulbar syndrome	[birnlex_12790, DOID_3522]
immune response-regulating cell surface receptor signalling pathway	[GO_0002430, GO_0002768]
DRD1	[PR_000001175, nifext_5847]
DRD3	[PR_000001178, nifext_6753]
mossy fiber expansion	[nlx_subcell_1005002, GO_1990026]
Sympathetic Ocular-Ophthalmoplegia	[birnlex_12586, DOID_11486]
Grpr	[nifext_7656, nifext_7659]
brain stem	[UBERON_0002298, birnlex_1565]
transverse pontine fibres	[UBERON_0002735, birnlex_1535]
Soemmering's substance	[UBERON_0002038, birnlex_789]
cervical nerve tree	[UBERON_0000962, nlx_anat_20090207]
basolateral nucleus (De Olmos)	[birnlex_2692, UBERON_0002887]
flippase	[GO_0034203, GO_0045332]
hERG2	[PR_000000795, nifext_2831]
longitudinal pontine fibers	[UBERON_0002732, birnlex_1523]
